scenario_id,league_nights_per_week,events_per_month,retention_utilization_uplift,membership_active_members,membership_discount_pct,cash_after_debt,dscr,required_utilization_multiplier_for_cash_break_even
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,0,0.0,-18582.023576784348,0,1.274830879858522
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,0,0.05,-18582.023576784348,0,1.274830879858522
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,0,0.1,-18582.023576784348,0,1.274830879858522
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,0,0.15,-18582.023576784348,0,1.274830879858522
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,50,0.0,-17826.023576784348,0,1.2607341674428827
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,50,0.05,-17875.11019733578,0,1.2616399877414786
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,50,0.1,-17924.196817887198,0,1.2625471106150086
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,50,0.15,-17973.283438438615,0,1.2634555388751603
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,150,0.0,-16314.023576784346,0,1.233455770674614
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,150,0.05,-16461.283438438615,0,1.2360605303198104
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,150,0.1,-16608.543300092868,0,1.2386763144882806
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,150,0.15,-16755.80316174712,0,1.241303193319625
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,300,0.0,-14046.023576784346,0,1.194681925539392
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,300,0.05,-14340.543300092866,0,1.1995787596431078
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,300,0.1,-14635.063023401372,0,1.2045159018401284
S12_BASE_PLUS_PROGRAMS2,0,0,0.0,300,0.15,-14929.582746709877,0,1.2094938518789615
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,0,0.0,-16952.90233586482,0,1.24483661098888
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,0,0.05,-16952.90233586482,0,1.24483661098888
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,0,0.1,-16952.90233586482,0,1.24483661098888
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,0,0.15,-16952.90233586482,0,1.24483661098888
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,50,0.0,-16196.902335864817,0,1.2313919331844154
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,50,0.05,-16246.00431374055,0,1.2322563362475787
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,50,0.1,-16295.106291616268,0,1.2331219537372984
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,50,0.15,-16344.208269492,0,1.233988788214652
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,150,0.0,-14684.902335864817,0,1.2053553997998343
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,150,0.05,-14832.208269492,0,1.207843489126017
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,150,0.1,-14979.514203119155,0,1.2103418715052086
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,150,0.15,-15126.820136746339,0,1.212850610942272
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,300,0.0,-12416.902335864817,0,1.1683015722537418
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,300,0.05,-12711.514203119155,0,1.1729855823078477
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,300,0.1,-13006.126070373493,0,1.1777073022606344
S12_BASE_PLUS_PROGRAMS2,0,0,0.03,300,0.15,-13300.737937627831,0,1.1824671893433494
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,0,0.0,-15866.821508585146,0,1.2256124406019435
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,0,0.05,-15866.821508585146,0,1.2256124406019435
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,0,0.1,-15866.821508585146,0,1.2256124406019435
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,0,0.15,-15866.821508585146,0,1.2256124406019435
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,50,0.0,-15110.821508585146,0,1.2125776380272064
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,50,0.05,-15159.933329296013,0,1.2134159877969162
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,50,0.1,-15209.04515000685,0,1.214255497602193
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,50,0.15,-15258.156970717717,0,1.2150961698524392
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,150,0.0,-13598.821508585146,0,1.1873224860948524
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,150,0.05,-13746.156970717717,0,1.189737095745968
